"category","source","count","channels","example_title","example_url"
"行业媒体/垂直资讯","北极星输配电网","14","bidding|hot","26类物资丨国网宁夏电力2024年第二次物资公开招标","https://www.ditan.com/news/bidding/4957.html"
"央国企/能源集团/电网","国家能源集团","14","bidding|hot","河北沧东三期智能发电平台建设公开招标","https://www.ditan.com/news/bidding/10076.html"
"官方媒体/主流媒体","科技日报","14","hot","国内在建最大直径电力管廊工程盾构机始发","https://www.ditan.com/news/hot/100738.html"
"官方媒体/主流媒体","财联社","13","hot","全球首台全高温超导托卡马克装置洪荒70实现千秒级运行突破","https://www.ditan.com/news/hot/100870.html"
"企业/项目公司","国际能源小数据","13","hot","俄美欧均靠不住，印度拟分三阶段自主开发新兴核能技术","https://www.ditan.com/news/hot/3715.html"
"地方政府/地方主管部门","上海市生态环境局","13","hot","上海市印发生活垃圾焚烧飞灰回炉减量指南","https://www.ditan.com/news/hot/100629.html"
"官方媒体/主流媒体","中国环境报","13","hot|interview","专家访谈：企业进行碳足迹管理 运行成本会增加吗？","https://www.ditan.com/news/interview/4469.html"
"官方媒体/主流媒体","中国环境APP","13","hot|interview","专家解读｜规模化猪场粪污 CCER 方法学核心要点","https://www.ditan.com/news/interview/9445.html"
"地方政府/地方主管部门","上海市人民政府","12","hot|themes","上海市人民政府关于深化环境影响评价与排污许可制度改革的实施意见","https://www.ditan.com/news/themes/4466.html"
"官方媒体/主流媒体","央视新闻客户端","12","hot|themes","国际能源署：全球能源安全面临持续威胁","https://www.ditan.com/news/themes/1462.html"
"行业媒体/垂直资讯","中国能源报","12","hot|interview","郑越解读华为储能安全白皮书 引领行业系统治理","https://www.ditan.com/news/interview/9240.html"
"中央部委/国务院/监管","中国政府网","12","hot","国新办介绍2026年1-2月国民经济运行情况","https://www.ditan.com/news/hot/100372.html"
"官方媒体/主流媒体","央视新闻","11","hot","日本核污染水首次约7800吨排海将于今天结束","https://www.ditan.com/news/hot/77.html"
"公众号/自媒体/个人号","易碳家","11","hot|themes","关于发布北京市碳排放权交易市场有关工作事项安排的通告","https://www.ditan.com/news/themes/3825.html"
"中央部委/国务院/监管","财政部","10","hot|themes","财政部公布第一批“政府采购支持公路绿色低碳发展”试点任务","https://www.ditan.com/news/hot/100513.html"
"公众号/自媒体/个人号","低碳网","10","hot","改造一栋建筑，赚三笔钱？省电+补贴+碳交易！","https://www.ditan.com/news/hot/11597.html"
"行业媒体/垂直资讯","国际能源网","10","bidding|hot|themes","招标 | 国电电力绥中公司2号机组脱硫提效改造工程发布招标公告","https://www.ditan.com/news/bidding/1439.html"
"地方政府/地方主管部门","山西省能源局","10","hot","山西省新型储能发展指南（2026年）发布","https://www.ditan.com/news/hot/10167.html"
"行业媒体/垂直资讯","北极星电力网","9","hot|interview","清华大学校务委员会副主任姜胜耀：能源互联网牵引能源跨领域深度融合创新","https://www.ditan.com/news/interview/4320.html"
"行业媒体/垂直资讯","能源界","9","hot","报告：2060年中国新型储能累计融资需求将达7-10万亿元","https://www.ditan.com/news/hot/101040.html"
"交易/招标/采购平台","中国政府采购网","9","bidding|hot","甘肃金昌经开区国家级零碳园区项目招标","https://www.ditan.com/news/bidding/11148.html"
"官方媒体/主流媒体","第一财经","8","hot","中国工程院院士黄震：大变局下的能源安全与能源绿色转型","https://www.ditan.com/news/hot/181.html"
"央国企/能源集团/电网","国家电投","8","bidding|hot","张家口察北管理区100MW风储构网型实证应用项目风力发电机组及塔筒采购项目公开招标公告","https://www.ditan.com/news/bidding/9896.html"
"官方媒体/主流媒体","环球时报","8","hot|interview","王元丰：美国借 AI 气候救赎论逃避全球气候治理责任","https://www.ditan.com/news/interview/10893.html"
"地方政府/地方主管部门","内蒙古自治区能源局","8","hot","内蒙古发布《关于促进增量配电网高质量发展的若干措施（试行）》","https://www.ditan.com/news/hot/10071.html"
"官方媒体/主流媒体","新京报","8","hot|interview","中国工程院院士廉玉波：固态电池产业化进入攻坚阶段 主机厂需深度介入","https://www.ditan.com/news/interview/101002.html"
"官方媒体/主流媒体","21世纪经济报道","7","hot|interview","‘十五五’开局之年，两会‘双碳’领域看点多","https://www.ditan.com/news/hot/11253.html"
"地方政府/地方主管部门","贵州省能源局","7","hot|themes","贵州官宣！天然气储备项目最高 2000 元 / 方财政奖补","https://www.ditan.com/news/hot/100383.html"
"中央部委/国务院/监管","国务院","7","hot","国务院发布服务业扩能提质意见，聚焦节能环保与碳金融创新","https://www.ditan.com/news/hot/101176.html"
"企业/项目公司","千瓦科技","7","hot","千瓦科技探访：比特管理瓦特，智慧能源新实践","https://www.ditan.com/news/hot/100836.html"
"中央部委/国务院/监管","商务部","7","hot","2025年商务发展成效显著：消费、贸易、投资等多方面向好","https://www.ditan.com/news/hot/10220.html"
"中央部委/国务院/监管","上海市发展和改革委员会","7","hot|themes","上海发布2026年风电、光伏电站申报通知","https://www.ditan.com/news/hot/11449.html"
"地方政府/地方主管部门","浙江省人民政府","7","hot","浙江：支持园区绿色改造，启动20个零碳园区建设","https://www.ditan.com/news/hot/11008.html"
"行业媒体/垂直资讯","北极星氢能网","6","bidding|hot","110万吨/年煤制甲醇项目设计招标！","https://www.ditan.com/news/bidding/5460.html"
"中央部委/国务院/监管","国家能源局华中监管局","6","hot","湖北省电力中长期市场实施细则公开征意见","https://www.ditan.com/news/hot/10232.html"
"官方媒体/主流媒体","界面新闻","6","hot|interview","【专访】国家发展改革委环资司副司长赵鹏高：中国要建100个碳达峰试点 该如何开展？","https://www.ditan.com/news/interview/795.html"
"公众号/自媒体/个人号","生态中国网","6","hot","联合国最新报告：全球或将面临变暖2.5-2.9℃的风险","https://www.ditan.com/news/hot/548.html"
"中央部委/国务院/监管","市场监管总局","6","hot","市场监管总局发文整治光伏锂电池等行业内卷式竞争","https://www.ditan.com/news/hot/100811.html"
"其他/待人工判断","未提取到来源","6","hot","GBT-51366-2019-建筑碳排放计算标准","https://www.ditan.com/news/hot/1743.html"
"央国企/能源集团/电网","中国电建","6","bidding|hot","12MW/24MWh！中国电建山东滨州40MW光伏电站项目储能容量租赁服务招标","https://www.ditan.com/news/bidding/5310.html"
"行业媒体/垂直资讯","北极星售电网","5","hot","内蒙古首个源网荷储绿能低碳物流园将于2025年底投运","https://www.ditan.com/news/hot/8089.html"
"行业媒体/垂直资讯","北极星水处理网","5","hot","中央督察和政策双向推动，2024水处理什么要“火”！","https://www.ditan.com/news/hot/4209.html"
"央国企/能源集团/电网","大唐集团","5","bidding|hot","大唐怀安储能项目公示中标候选人 单价最低 0.5397 元 / Wh","https://www.ditan.com/news/bidding/9298.html"
"地方政府/地方主管部门","福建电力交易中心","5","hot","福建征求2026年修订版中长期交易细则意见","https://www.ditan.com/news/hot/10228.html"
"中央部委/国务院/监管","福建省发展和改革委员会","5","hot","福建公布2026年度省重点项目名单，10个海上风电项目入选","https://www.ditan.com/news/hot/10679.html"
"中央部委/国务院/监管","广西壮族自治区发展和改革委员会","5","hot","广西明确殡葬服务机构水电价格按居民生活类标准执行","https://www.ditan.com/news/hot/10665.html"
"地方政府/地方主管部门","广西壮族自治区人民政府","5","hot","广西：推动海上风、光等规模开发及重大技术攻关 加快源网荷储一体化发展","https://www.ditan.com/news/hot/8806.html"
"地方政府/地方主管部门","河北省工业和信息化厅","5","hot","河北工信厅：关于印发《河北省绿色工厂梯度培育实施细则》的通知","https://www.ditan.com/news/hot/100869.html"
"中央部委/国务院/监管","湖南省发展和改革委员会","5","hot","湖南印发交通与能源融合发展意见，2027 年目标及储能设施规划","https://www.ditan.com/news/hot/10202.html"
"央国企/能源集团/电网","华能集团","5","bidding","2×660MW热电联产项目五通一平工程招标进行中","https://www.ditan.com/news/bidding/8372.html"
"官方媒体/主流媒体","环球网","5","hot","美国发布电动汽车税收减免新规，限制中国企业","https://www.ditan.com/news/hot/671.html"
"公众号/自媒体/个人号","老汪聊碳中和","5","hot","市监局发文建立产品碳标签制度 新的万亿市场要来了？","https://www.ditan.com/news/hot/190.html"
"协会/联盟/研究机构","联合国","5","hot|interview","专家王毅解读第 30 届气候大会：中国绿色转型实践助力全球双碳","https://www.ditan.com/news/interview/9126.html"
"央国企/能源集团/电网","南方电网公司","5","bidding|hot","广东电网 2026-2027 输电线路特巡特维招标","https://www.ditan.com/news/bidding/9432.html"
"中央部委/国务院/监管","青海省发展和改革委员会","5","hot","青海省发布省级零碳园区建设方案，推动绿色转型","https://www.ditan.com/news/hot/101161.html"
"官方媒体/主流媒体","人民网","5","hot|interview","专家观点|建立零碳园区，破解绿色壁垒","https://www.ditan.com/news/interview/8388.html"
"地方政府/地方主管部门","山西省人民政府","5","hot","山西省发布完善工商业用户分时电价政策","https://www.ditan.com/news/hot/11192.html"
"地方政府/地方主管部门","云南省人民政府","5","hot","云南省十五五规划纲要聚焦能源电力","https://www.ditan.com/news/hot/11290.html"
"地方政府/地方主管部门","浙江电力交易中心","5","hot","浙江发布电力零售市场实施细则（3.1版）征求意见稿","https://www.ditan.com/news/hot/10289.html"
"央国企/能源集团/电网","中国华能","5","bidding|hot","华能集团 2026 年逆变器框架采购招标公告","https://www.ditan.com/news/bidding/9676.html"
"行业媒体/垂直资讯","中国能源观察","5","hot|interview","国家能源局局长王宏志：努力破解新能源高比例消纳难题","https://www.ditan.com/news/interview/10243.html"
"行业媒体/垂直资讯","中国能源网","5","hot","我国生态环境法典即将问世","https://www.ditan.com/news/hot/805.html"
"央国企/能源集团/电网","中国石化","5","bidding|hot","2850件！中天合创废水、高含盐、矿井水高压反渗透框架招标反渗透膜招标","https://www.ditan.com/news/bidding/4608.html"
"央国企/能源集团/电网","中国石油报","5","hot","预计2028年油气行业温室气体绝对排放量将超过2019年的水平","https://www.ditan.com/news/hot/1712.html"
"央国企/能源集团/电网","中核集团","5","hot","海外首个！“中核方案”中标！","https://www.ditan.com/news/hot/4237.html"
"中央部委/国务院/监管","中华人民共和国生态环境部","5","hot","关于2025年绿色低碳典型案例征集活动获选名单的公示","https://www.ditan.com/news/hot/7552.html"
"行业媒体/垂直资讯","北极星碳管家网","4","bidding|hot","京津冀周边300兆瓦工商业分布式光伏项目招标","https://www.ditan.com/news/bidding/10809.html"
"地方政府/地方主管部门","北京市发改委","4","hot","97个充电站将获资金支持！北京2025年第二批充电设施示范项目公示","https://www.ditan.com/news/hot/8711.html"
"中央部委/国务院/监管","北京市发展和改革委员会","4","hot","北京启动 2026 节能技术产品推荐目录制定征集工作","https://www.ditan.com/news/hot/9680.html"
"地方政府/地方主管部门","北京市人民政府","4","hot|themes","北京市《推进美丽北京建设 持续深入打好污染防治攻坚战2024年行动计划》发布！","https://www.ditan.com/news/themes/1434.html"
"央国企/能源集团/电网","电网头条","4","hot|interview","中国工程院院士李立浧：电网技术发展的终极目标是“无条件”接受新能源","https://www.ditan.com/news/interview/5686.html"
"中央部委/国务院/监管","国家统计局","4","hot|interview","胡汉舟：能源供应保障有力 绿色转型加速推进","https://www.ditan.com/news/interview/10093.html"
"中央部委/国务院/监管","国资委","4","hot|interview","南方电网孟振平：贯彻落实习近平文化思想 以文化强企赋能世界一流企业建设","https://www.ditan.com/news/interview/5652.html"
"地方政府/地方主管部门","湖北省生态环境厅","4","hot","湖北省发布2026年危废处置通告","https://www.ditan.com/news/hot/11279.html"
"地方政府/地方主管部门","吉林省能源局","4","hot","吉林征求电力市场运营规则及配套实施细则","https://www.ditan.com/news/hot/100414.html"
"官方媒体/主流媒体","金融界","4","hot|themes","日本发行全球首支气候转型主权债 “绿色溢价”反映需求不俗","https://www.ditan.com/news/themes/1463.html"
"地方政府/地方主管部门","辽宁省发改委","4","hot","辽宁印发绿电直连实施方案 明确 2025-2027 年目标","https://www.ditan.com/news/hot/9554.html"
"官方媒体/主流媒体","每日经济新闻","4","hot|interview","专访清华大学张希良：建材、有色、钢铁等行业全国碳排放量占比较大，可优先考虑纳入碳市场","https://www.ditan.com/news/interview/422.html"
"央国企/能源集团/电网","南方电网","4","bidding","广东电网 2025 电化学储能系统专项招标启动","https://www.ditan.com/news/bidding/9350.html"
"央国企/能源集团/电网","南方电网报","4","bidding|hot","我国出口企业最大规模绿证交易达成","https://www.ditan.com/news/bidding/5007.html"
"行业媒体/垂直资讯","南方能源观察","4","hot|interview","南方电网李鹏：AI要解决电力领域的根问题","https://www.ditan.com/news/interview/10305.html"
"央国企/能源集团/电网","南网50Hz","4","hot|interview","周孝信：构建新型能源体系要攻克技术难题，也要打破管理机制障碍","https://www.ditan.com/news/interview/4579.html"
"企业/项目公司","内蒙古电力集团","4","hot","内蒙古绿电跨区外送：为全国统一电力市场注入 “风光” 动能","https://www.ditan.com/news/hot/7917.html"
"官方媒体/主流媒体","澎湃新闻","4","hot","地球正处在五大气候“临界点”触发边缘，或触发“级联效应”","https://www.ditan.com/news/hot/782.html"
"地方政府/地方主管部门","青海省人民政府","4","hot","青海省印发措施促进光热发电规模化发展","https://www.ditan.com/news/hot/11218.html"
"地方政府/地方主管部门","山东省能源局","4","hot|themes","山东省能源局征求抽水蓄能细则意见","https://www.ditan.com/news/hot/11281.html"
"地方政府/地方主管部门","山东省人民政府","4","hot","山东发布2026-2030年菏泽鲁西崛起储能及能源建设方案","https://www.ditan.com/news/hot/101138.html"
"地方政府/地方主管部门","上海经信委","4","hot","【通知】《上海核电产业高质量发展行动方案（2024-2027年）》发布啦","https://www.ditan.com/news/hot/1646.html"
"地方政府/地方主管部门","四川省经济和信息化厅","4","hot","涉及新型储能！四川印发产业新赛道重点领域方向","https://www.ditan.com/news/hot/10106.html"
"公众号/自媒体/个人号","碳课公众号","4","hot","可口可乐可持续发展目标调整：争议与行业瞭望","https://www.ditan.com/news/hot/6436.html"
"公众号/自媒体/个人号","碳视角","4","hot|interview","周小川：碳价是未来电价的必要组成元素","https://www.ditan.com/news/interview/4902.html"
"央国企/能源集团/电网","浙电e家","4","hot","算电协同首入政府工作报告 杭州破局5500亿算力产业用电难题","https://www.ditan.com/news/hot/100898.html"
"地方政府/地方主管部门","浙江省发展改革委","4","bidding|hot","浙江发展改革委9.9万元采购电价政策评估服务","https://www.ditan.com/news/bidding/100613.html"
"官方媒体/主流媒体","证券时报","4","hot","国务院国资委再部署：能源资源安全等领域投入力度","https://www.ditan.com/news/hot/1145.html"
"行业媒体/垂直资讯","中关村储能产业技术联盟","4","hot|interview","陈海生：新疆新构网型储能以及4h及以上长时储能需求将逐渐加大","https://www.ditan.com/news/interview/5504.html"
"行业媒体/垂直资讯","中国电力企业管理","4","hot|interview","史连军：关于我国新型容量市场建设的思考","https://www.ditan.com/news/interview/11143.html"
"官方媒体/主流媒体","中国经济网","4","hot","工信部：三项举措推进国家高新区绿色低碳转型","https://www.ditan.com/news/hot/776.html"
"官方媒体/主流媒体","中国证券报","4","hot","容量电价呼之欲出 火电企业价值或迎重估","https://www.ditan.com/news/hot/74.html"
"协会/联盟/研究机构","中能传媒研究院","4","hot|interview","叶春：以体系能力跃升支撑能源强国建设的政策组合建议","https://www.ditan.com/news/interview/10636.html"
"行业媒体/垂直资讯","北极星环保网","3","hot","以垃圾处理量为绩效指标，泰达股份拟发行20亿低碳转型债券","https://www.ditan.com/news/hot/7704.html"
"地方政府/地方主管部门","北京市经济和信息化局","3","hot","最高支持 1000 万！北京2026 “创赢未来” 成长计划申报","https://www.ditan.com/news/hot/10143.html"
"地方政府/地方主管部门","北京市生态环境局","3","hot","北京市2024年碳排放配额有偿竞价发放","https://www.ditan.com/news/hot/8478.html"
"地方政府/地方主管部门","常州市人民政府","3","hot","常州印发三年行动方案，推进绿色低碳产业发展","https://www.ditan.com/news/hot/10513.html"
"协会/联盟/研究机构","抽水蓄能行业分会","3","hot","EDF 阿联酋巨无霸抽蓄电站计划：新能源征程新跨越","https://www.ditan.com/news/hot/6295.html"
"行业媒体/垂直资讯","电池工业网","3","hot","碳酸锂罕见涨停！行业出清完成？","https://www.ditan.com/news/hot/7877.html"
"行业媒体/垂直资讯","电联新媒","3","hot|interview","中国工程院院士郝吉明：煤电绿色转型需积极探索、稳妥推进","https://www.ditan.com/news/interview/5395.html"
"协会/联盟/研究机构","风能专委会CWEA","3","hot|interview","关乎风电行业生死存亡！秦海岩谈“价格战”及和事故频发问题","https://www.ditan.com/news/interview/5216.html"
"行业媒体/垂直资讯","高工储能","3","hot","四川全天负电价，储能有什么用？","https://www.ditan.com/news/hot/8480.html"
"行业媒体/垂直资讯","高工锂电","3","hot","反内卷“劲风”，吹向锂电材料","https://www.ditan.com/news/hot/8267.html"
"中央部委/国务院/监管","工业和信息化部","3","hot","节能与综合利用司组织召开“零碳”工厂建设座谈会","https://www.ditan.com/news/hot/256.html"
"官方媒体/主流媒体","观察者网","3","hot|interview","中央第三生态环境保护督察组反馈：海南省小水电站清退不严不实","https://www.ditan.com/news/interview/1494.html"
"行业媒体/垂直资讯","光储星球","3","hot","美国“大而美法案”最终砍向新能源！","https://www.ditan.com/news/hot/7562.html"
"地方政府/地方主管部门","广东省发展改革委","3","hot","广东：重点围绕新型储能参与电力市场开展政策先行先试和创新机制探索","https://www.ditan.com/news/hot/100637.html"
"地方政府/地方主管部门","广东省能源局","3","hot|interview","政策解读| 广东《分布式光伏光伏发电开发建设管理办法》","https://www.ditan.com/news/interview/9652.html"
"地方政府/地方主管部门","广西壮族自治区财政厅","3","hot","关于印发广西政策性森林保险实施方案的通知","https://www.ditan.com/news/hot/3729.html"
"企业/项目公司","广州硕信展览有限公司","3","hot","2025第三届世界氢能产业博览会","https://www.ditan.com/news/hot/6313.html"
"中央部委/国务院/监管","贵州省发展和改革委员会","3","hot","贵州出台固投项目节能审查与碳评实施办法","https://www.ditan.com/news/hot/9859.html"
"地方政府/地方主管部门","贵州省生态环境厅","3","hot","《贵州省水泥工业大气污染物排放标准（征求意见稿）》发布","https://www.ditan.com/news/hot/4734.html"
"行业媒体/垂直资讯","国际能源网编译","3","hot","美国拟加征钢铁铝关税冲击油田服务公司","https://www.ditan.com/news/hot/7125.html"
"中央部委/国务院/监管","国家发展和改革委员会","3","hot","关于支持内蒙古绿色低碳高质量发展若干政策措施的通知","https://www.ditan.com/news/hot/3519.html"
"企业/项目公司","国家能源之声","3","hot","全国最大“煤电+熔盐”储能项目在国家能源集团投产","https://www.ditan.com/news/hot/8296.html"
"中央部委/国务院/监管","国家认监委","3","hot","市场监管总局关于发布《温室气体自愿减排项目审定与减排量核查实施规则》的公告","https://www.ditan.com/news/hot/943.html"
"交易/招标/采购平台","国投集团电子采购平台","3","bidding","国投广西新能源 2026-2027 劳务外包服务招标","https://www.ditan.com/news/bidding/9596.html"
"企业/项目公司","国网新能源云","3","hot","山东 2026 新能源机制电价竞价公告 1 月 4 日起申报","https://www.ditan.com/news/hot/9528.html"
"地方政府/地方主管部门","海南电力交易中心","3","hot","海南发布电力市场连续结算试运行风险处置方案等3份规定意见","https://www.ditan.com/news/hot/10280.html"
"地方政府/地方主管部门","河北省发改委","3","hot","河北 2025 第三批风光项目公示 华电领衔获批","https://www.ditan.com/news/hot/9301.html"
"地方政府/地方主管部门","河南省人民政府","3","hot","河南省发布省级现代水网先导区建设实施方案","https://www.ditan.com/news/hot/6621.html"
"中央部委/国务院/监管","黑龙江省发展和改革委员会","3","hot","黑龙江省有序推动单一用户绿电直连发展实施方案","https://www.ditan.com/news/hot/100528.html"
"地方政府/地方主管部门","湖北省人民政府","3","hot","湖北2027年全省新建数据中心绿电占比超80%","https://www.ditan.com/news/hot/8487.html"
"地方政府/地方主管部门","湖南省发改委","3","hot","湖南省启动第六批能源领域首台（套）装备申报","https://www.ditan.com/news/hot/10886.html"
"企业/项目公司","华润集团","3","bidding","沈阳全胜2×350MW热电项目脱硫EPC总承包工程招标","https://www.ditan.com/news/bidding/8509.html"
"地方政府/地方主管部门","江西省发展改革委","3","hot|interview","《江西省零碳园区建设方案》政策解读","https://www.ditan.com/news/interview/9502.html"
"中央部委/国务院/监管","江西省发展和改革委员会","3","hot","江西公示拟上报 2026 节能降碳专项中央投资项目","https://www.ditan.com/news/hot/10550.html"
"官方媒体/主流媒体","经济日报","3","hot","“十四五”能源指标完成度有喜有忧","https://www.ditan.com/news/hot/1025.html"
"地方政府/地方主管部门","辽宁省人民政府","3","hot","《辽宁省推动大规模设备更新和消费品以旧换新实施方案》发布！","https://www.ditan.com/news/hot/4206.html"
"地方政府/地方主管部门","内蒙古自治区人民政府","3","hot","内蒙古：进一步加快电网项目建设","https://www.ditan.com/news/hot/10900.html"
"行业媒体/垂直资讯","能源新媒","3","hot","“热能电池”大规模消纳过剩风光电的可能性","https://www.ditan.com/news/hot/7858.html"
"地方政府/地方主管部门","宁夏发改委","3","hot","宁夏开展 2025 年风电场改造升级和退役项目申报","https://www.ditan.com/news/hot/7246.html"
"地方政府/地方主管部门","宁夏回族自治区发展改革委","3","hot","宁夏发布绿电直连实施方案 明确 2030 年消纳目标","https://www.ditan.com/news/hot/9506.html"
"地方政府/地方主管部门","宁夏回族自治区生态环境厅","3","hot","宁夏发布2026年危废利用处置能力引导性公告","https://www.ditan.com/news/hot/10523.html"
"行业媒体/垂直资讯","欧洲海上风电","3","hot","超高负补贴招标引争议！巨头退出","https://www.ditan.com/news/hot/3639.html"
"央国企/能源集团/电网","三峡小微","3","hot","三峡集团首个“零碳+智慧”坝区来了","https://www.ditan.com/news/hot/8206.html"
"地方政府/地方主管部门","山东省生态环境厅","3","hot","《山东省重污染天气应急预案（2024年修订版）（征求意见稿）》","https://www.ditan.com/news/hot/3781.html"
"中央部委/国务院/监管","山西省发展和改革委员会","3","hot","山西发布 2026-2028 数字经济发展实施方案","https://www.ditan.com/news/hot/9745.html"
"中央部委/国务院/监管","陕西省发展和改革委员会","3","hot","陕西：新型储能参与电力市场交易实施方案印发","https://www.ditan.com/news/hot/1673.html"
"官方媒体/主流媒体","上观新闻","3","hot","研究发现：美军和英军欠下至少1110亿美元气候赔偿金","https://www.ditan.com/news/hot/436.html"
"企业/项目公司","上海环境能源交易所","3","hot","上海气候周2024开幕式盛典暨绿碳亚洲论坛成功举办","https://www.ditan.com/news/hot/3733.html"
"其他/待人工判断","上海节能宣传","3","hot","构建政府引导、条块联动、企业协同的绿色转型新格局——2024年上海市节能宣传周开幕","https://www.ditan.com/news/hot/3926.html"
"地方政府/地方主管部门","上海市发展改革委","3","hot","上海发布2026年第二批节能减排等专项资金通知","https://www.ditan.com/news/hot/10439.html"
"地方政府/地方主管部门","上海市经济和信息化委员会","3","hot","上海市发布《关于协同做好“上海产业绿贷”金融服务工作的通知》","https://www.ditan.com/news/hot/4638.html"
"地方政府/地方主管部门","四川省人民政府","3","hot","四川省泸州市龙马潭区碳达峰实施方案：到2030年 尖峰负荷响应能力不低于5%","https://www.ditan.com/news/hot/7916.html"
"地方政府/地方主管部门","四川省住房和城乡建设厅","3","hot","最高补贴1000万！四川印发绿色建材产业链发展政策","https://www.ditan.com/news/hot/11040.html"
"行业媒体/垂直资讯","索比光伏网","3","hot|interview","国投张宇阳：解析光伏低碳认证国内外变革","https://www.ditan.com/news/interview/10064.html"
"行业媒体/垂直资讯","碳排放权交易信息中心","3","hot","欧盟CBAM 2026年正式落地：中国出口面临双重碳成本挑战","https://www.ditan.com/news/hot/101036.html"
"中央部委/国务院/监管","外交部","3","hot","中加领导人会晤 为清洁和传统能源双向投资和贸易提供支持","https://www.ditan.com/news/hot/10049.html"
"地方政府/地方主管部门","威海市人民政府","3","hot|interview","山东威海征求《威海市节约能源办法（征求意见稿）》意见","https://www.ditan.com/news/interview/5217.html"
"公众号/自媒体/个人号","吴静文笔记","3","hot","机制电量有绿证吗？——关于机制电量与绿证的12个关键问题","https://www.ditan.com/news/hot/8289.html"
"官方媒体/主流媒体","央广网","3","hot|interview","政策解读 | 关于完善发电侧容量电价机制","https://www.ditan.com/news/interview/10403.html"
"官方媒体/主流媒体","央视网","3","hot","李强在四川调研时强调 着力推进新型电网建设 加快能源结构调整优化 为经济社会高质量发展提供有力支撑","https://www.ditan.com/news/hot/100909.html"
"地方政府/地方主管部门","云南省能源局","3","hot","云南：全省建成20家虚拟电厂，电源装机突破1.7亿千瓦","https://www.ditan.com/news/hot/10168.html"
